"Location_ID","Location_Name","Location_Setting","Location_Setting_Description","Location_Description","Ecology_Facility_Site_ID","Is_Location_a_Well","Address","City","State","Zip_Code","County","Watershed_WRIA","Ecology_Region","US_Congressional_District","State_Legislative_District","NHD_Reach_Code","NHD_Reach_Measure","NHD_Edit_Date","Calculated_Latitude_Decimal_Degrees_NAD83HARN","Calculated_Longitude_Decimal_Degrees_NAD83HARN","Horizontal_Coordinates_Represent","Horizontal_Coordinate_Accuracy","Horizontal_Coordinate_Collection_Method","Paper_Map_Scale","Township_Number","Township_Direction","Range_Number","Range_Direction","Section_Number","Quarter_Section_Township_Range","Quarter_Quarter_Section_Township_Range","Elevation_of","Elevation","Elevation_Units","Elevation_Datum","Elevation_Accuracy","Elevation_Collecton_Method","Sediment_Elevation_Elevation_Reference","Location_Suspect_or_Rejected_Flag","Location_Suspect_Code","Location_Suspect_Description","Location_ID_Alias","Associated_Study_ID","Record_Created_On","Location_System_ID"
"ULTRAUCCMW-10","BOTHELL ULTRA UCC MW-10","Land","On or below land surface, including most wells","320' N & 140' E OF INTERSECTION OF BOTHELL WAY NE AND WOODENVILLE DRIVE",379891,"Y","18304 Bothell Way NE","BOTHELL","WA","98011","King","Cedar-Sammamish","Northwest Regional Office",1,1,"",,,47.7599761880947,-122.207070082029,"Discrete monitoring point","+/- 10 ft (3 m)","Computer map - GIS-based","",26,"N",5,"E",7,"NE","NE","LAND SURFACE",39.859,"FT","NAVD88","+/- 0.1 ft (0.03 m)","Survey - conventional","","","","","","FS379891",9/22/2017 9:42:56 AM,100071768
"ULTRAUCCMW-11S","BOTHELL ULTRA UCC MW-11S","Land","On or below land surface, including most wells","770' N & 75' E OF INTERSECTION OF BOTHELL WAY NE AND WOODENVILLE DRIVE",379891,"Y","18304 Bothell Way NE","BOTHELL","WA","98011","King","Cedar-Sammamish","Northwest Regional Office",1,1,"",,,47.7611897367452,-122.207182684969,"Discrete monitoring point","+/- 10 ft (3 m)","Computer map - GIS-based","",26,"N",5,"E",7,"NE","NE","LAND SURFACE",47.278,"FT","NAVD88","+/- 0.1 ft (0.03 m)","Survey - conventional","","","","","","FS379891",9/22/2017 9:42:56 AM,100071769
"ULTRAUCCMW-11D","BOTHELL ULTRA UCC MW-11D","Land","On or below land surface, including most wells","770' N & 75' E OF INTERSECTION OF BOTHELL WAY NE AND WOODENVILLE DRIVE",379891,"Y","18304 Bothell Way NE","BOTHELL","WA","98011","King","Cedar-Sammamish","Northwest Regional Office",1,1,"",,,47.7611893980084,-122.207171419962,"Discrete monitoring point","+/- 10 ft (3 m)","Computer map - GIS-based","",26,"N",5,"E",7,"NE","NE","LAND SURFACE",47.244,"FT","NAVD88","+/- 0.1 ft (0.03 m)","Survey - conventional","","","","","","FS379891",9/22/2017 9:42:56 AM,100071770
"ULTRAUCCMW-12S","BOTHELL ULTRA UCC MW-12S","Land","On or below land surface, including most wells","780' N & 140' E OF INTERSECTION OF BOTHELL WAY NE AND WOODENVILLE DRIVE",379891,"Y","18304 Bothell Way NE","BOTHELL","WA","98011","King","Cedar-Sammamish","Northwest Regional Office",1,1,"",,,47.761176491536,-122.207085348549,"Discrete monitoring point","+/- 10 ft (3 m)","Computer map - GIS-based","",26,"N",5,"E",7,"NE","NE","LAND SURFACE",47.994,"FT","NAVD88","+/- 0.1 ft (0.03 m)","Survey - conventional","","","","","","FS379891",9/22/2017 9:42:56 AM,100071771
"ULTRAUCCMW-12D","BOTHELL ULTRA UCC MW-12D","Land","On or below land surface, including most wells","780' N & 140' E OF INTERSECTION OF BOTHELL WAY NE AND WOODENVILLE DRIVE",379891,"Y","18304 Bothell Way NE","BOTHELL","WA","98011","King","Cedar-Sammamish","Northwest Regional Office",1,1,"",,,47.7611737360656,-122.207086475205,"Discrete monitoring point","+/- 10 ft (3 m)","Computer map - GIS-based","",26,"N",5,"E",7,"NE","NE","LAND SURFACE",47.926,"FT","NAVD88","+/- 0.1 ft (0.03 m)","Survey - conventional","","","","","","FS379891",9/22/2017 9:42:57 AM,100071772
"ULTRAUCCMW-13S","BOTHELL ULTRA UCC MW-13S","Land","On or below land surface, including most wells","740' N & 140' E OF INTERSECTION OF BOTHELL WAY NE AND WOODENVILLE DRIVE",379891,"Y","18304 Bothell Way NE","BOTHELL","WA","98011","King","Cedar-Sammamish","Northwest Regional Office",1,1,"",,,47.7611514766337,-122.206987895765,"Discrete monitoring point","+/- 10 ft (3 m)","Computer map - GIS-based","",26,"N",5,"E",7,"NE","NE","LAND SURFACE",47.909,"FT","NAVD88","+/- 0.1 ft (0.03 m)","Survey - conventional","","","","","","FS379891",9/22/2017 9:42:57 AM,100071773
"ULTRAUCCMW-13D","BOTHELL ULTRA UCC MW-13D","Land","On or below land surface, including most wells","740' N & 140' E OF INTERSECTION OF BOTHELL WAY NE AND WOODENVILLE DRIVE",379891,"Y","18304 Bothell Way NE","BOTHELL","WA","98011","King","Cedar-Sammamish","Northwest Regional Office",1,1,"",,,47.761151636849,-122.206978002184,"Discrete monitoring point","+/- 10 ft (3 m)","Computer map - GIS-based","",26,"N",5,"E",8,"NW","NW","LAND SURFACE",47.904,"FT","NAVD88","+/- 0.1 ft (0.03 m)","Survey - conventional","","","","","","FS379891",9/22/2017 9:42:57 AM,100071774
"ULTRAUCCMW-14S","BOTHELL ULTRA UCC MW-14S","Land","On or below land surface, including most wells","740' N & 170' E OF INTERSECTION OF BOTHELL WAY NE AND WOODENVILLE DRIVE",379891,"Y","18304 Bothell Way NE","BOTHELL","WA","98011","King","Cedar-Sammamish","Northwest Regional Office",1,1,"",,,47.7611136060406,-122.206944561055,"Discrete monitoring point","+/- 10 ft (3 m)","Computer map - GIS-based","",26,"N",5,"E",8,"NW","NW","LAND SURFACE",48.991,"FT","NAVD88","+/- 0.1 ft (0.03 m)","Survey - conventional","","","","","","FS379891",9/22/2017 9:42:58 AM,100071775
"ULTRAUCCMW-14D","BOTHELL ULTRA UCC MW-14D","Land","On or below land surface, including most wells","740' N & 170' E OF INTERSECTION OF BOTHELL WAY NE AND WOODENVILLE DRIVE",379891,"Y","18304 Bothell Way NE","BOTHELL","WA","98011","King","Cedar-Sammamish","Northwest Regional Office",1,1,"",,,47.7611036375763,-122.206942646153,"Discrete monitoring point","+/- 10 ft (3 m)","Computer map - GIS-based","",26,"N",5,"E",8,"NW","NW","LAND SURFACE",48.785,"FT","NAVD88","+/- 0.1 ft (0.03 m)","Survey - conventional","","","","","","FS379891",9/22/2017 9:42:58 AM,100071776
"ULTRAUCCMW-15","BOTHELL ULTRA UCC MW-15","Land","On or below land surface, including most wells","740' N & 130' E OF INTERSECTION OF BOTHELL WAY NE AND WOODENVILLE DRIVE",379891,"Y","18304 Bothell Way NE","BOTHELL","WA","98011","King","Cedar-Sammamish","Northwest Regional Office",1,1,"",,,47.761062089963,-122.20709799984,"Discrete monitoring point","+/- 10 ft (3 m)","Computer map - GIS-based","",26,"N",5,"E",7,"NE","NE","LAND SURFACE",47.818,"FT","NAVD88","+/- 0.1 ft (0.03 m)","Survey - conventional","","","","","","FS379891",9/22/2017 9:42:58 AM,100071777
"ULTRAUCCMW-16","BOTHELL ULTRA UCC MW-16","Land","On or below land surface, including most wells","720' N & 80' E OF INTERSECTION OF BOTHELL WAY NE AND WOODENVILLE DRIVE",379891,"Y","18304 Bothell Way NE","BOTHELL","WA","98011","King","Cedar-Sammamish","Northwest Regional Office",1,1,"",,,47.7609902400792,-122.20729060084,"Discrete monitoring point","+/- 10 ft (3 m)","Computer map - GIS-based","",26,"N",5,"E",7,"NE","NE","LAND SURFACE",45.379,"FT","NAVD88","+/- 0.1 ft (0.03 m)","Survey - conventional","","","","","","FS379891",9/22/2017 9:42:58 AM,100071778
"ULTRAUCCMW-17","BOTHELL ULTRA UCC MW-17","Land","On or below land surface, including most wells","720' N & 100' E OF INTERSECTION OF BOTHELL WAY NE AND WOODENVILLE DRIVE",379891,"Y","18304 Bothell Way NE","BOTHELL","WA","98011","King","Cedar-Sammamish","Northwest Regional Office",1,1,"",,,47.7609835898829,-122.207174900354,"Discrete monitoring point","+/- 10 ft (3 m)","Computer map - GIS-based","",26,"N",5,"E",7,"NE","NE","LAND SURFACE",46.988,"FT","NAVD88","+/- 0.1 ft (0.03 m)","Survey - conventional","","","","","","FS379891",9/22/2017 9:42:59 AM,100071779
"ULTRAUCCMW-18","BOTHELL ULTRA UCC MW-18","Land","On or below land surface, including most wells","700' N & 110' E OF INTERSECTION OF BOTHELL WAY NE AND WOODENVILLE DRIVE",379891,"Y","18304 Bothell Way NE","BOTHELL","WA","98011","King","Cedar-Sammamish","Northwest Regional Office",1,1,"",,,47.7609270798675,-122.207179601323,"Discrete monitoring point","+/- 10 ft (3 m)","Computer map - GIS-based","",26,"N",5,"E",7,"NE","NE","LAND SURFACE",46.895,"FT","NAVD88","+/- 0.1 ft (0.03 m)","Survey - conventional","","","","","","FS379891",9/22/2017 9:42:59 AM,100071780
"ULTRAUCCMW-19","BOTHELL ULTRA UCC MW-19","Land","On or below land surface, including most wells","680' N & 70' E OF INTERSECTION OF BOTHELL WAY NE AND WOODENVILLE DRIVE",379891,"Y","18304 Bothell Way NE","BOTHELL","WA","98011","King","Cedar-Sammamish","Northwest Regional Office",1,1,"",,,47.7609343301461,-122.207232498786,"Discrete monitoring point","+/- 10 ft (3 m)","Computer map - GIS-based","",26,"N",5,"E",7,"NE","NE","LAND SURFACE",46.399,"FT","NAVD88","+/- 0.1 ft (0.03 m)","Survey - conventional","","","","","","FS379891",9/22/2017 9:42:59 AM,100071781
"ULTRAUCCMW-20","BOTHELL ULTRA UCC MW-20","Land","On or below land surface, including most wells","660' N & 90' E OF INTERSECTION OF BOTHELL WAY NE AND WOODENVILLE DRIVE",379891,"Y","18304 Bothell Way NE","BOTHELL","WA","98011","King","Cedar-Sammamish","Northwest Regional Office",1,1,"",,,47.760857199889,-122.207240000359,"Discrete monitoring point","+/- 10 ft (3 m)","Computer map - GIS-based","",26,"N",5,"E",7,"NE","NE","LAND SURFACE",45.934,"FT","NAVD88","+/- 0.1 ft (0.03 m)","Survey - conventional","","","","","","FS379891",9/22/2017 9:43:00 AM,100071782
"ULTRAUCCMW-21","BOTHELL ULTRA UCC MW-21","Land","On or below land surface, including most wells","660' N & 130' E OF INTERSECTION OF BOTHELL WAY NE AND WOODENVILLE DRIVE",379891,"Y","18304 Bothell Way NE","BOTHELL","WA","98011","King","Cedar-Sammamish","Northwest Regional Office",1,1,"",,,47.7608498998894,-122.207064798787,"Discrete monitoring point","+/- 10 ft (3 m)","Computer map - GIS-based","",26,"N",5,"E",7,"NE","NE","LAND SURFACE",50.002,"FT","NAVD88","+/- 0.1 ft (0.03 m)","Survey - conventional","","","","","","FS379891",9/22/2017 9:43:00 AM,100071783
"ULTRAUCCMW-22","BOTHELL ULTRA UCC MW-22","Land","On or below land surface, including most wells","600' N & 10' E OF INTERSECTION OF BOTHELL WAY NE AND WOODENVILLE DRIVE",379891,"Y","18304 Bothell Way NE","BOTHELL","WA","98011","King","Cedar-Sammamish","Northwest Regional Office",1,1,"",,,47.760827976411,-122.207548972776,"Discrete monitoring point","+/- 10 ft (3 m)","Computer map - GIS-based","",26,"N",5,"E",7,"NE","NE","LAND SURFACE",43.47,"FT","NAVD88","+/- 0.1 ft (0.03 m)","Survey - conventional","","","","","","FS379891",9/22/2017 9:43:00 AM,100071784
"ULTRAUCCMW-23","BOTHELL ULTRA UCC MW-23","Land","On or below land surface, including most wells","600' N & 10' E OF INTERSECTION OF BOTHELL WAY NE AND WOODENVILLE DRIVE",379891,"Y","18304 Bothell Way NE","BOTHELL","WA","98011","King","Cedar-Sammamish","Northwest Regional Office",1,1,"",,,47.760697580002,-122.207572199061,"Discrete monitoring point","+/- 10 ft (3 m)","Computer map - GIS-based","",26,"N",5,"E",7,"NE","NE","LAND SURFACE",42.013,"FT","NAVD88","+/- 0.1 ft (0.03 m)","Survey - conventional","","","","","","FS379891",9/22/2017 9:43:00 AM,100071785
"ULTRAUCCMW-24","BOTHELL ULTRA UCC MW-24","Land","On or below land surface, including most wells","600' N & 40' E OF INTERSECTION OF BOTHELL WAY NE AND WOODENVILLE DRIVE",379891,"Y","18304 Bothell Way NE","BOTHELL","WA","98011","King","Cedar-Sammamish","Northwest Regional Office",1,1,"",,,47.7606780901361,-122.207457399402,"Discrete monitoring point","+/- 10 ft (3 m)","Computer map - GIS-based","",26,"N",5,"E",7,"NE","NE","LAND SURFACE",42.143,"FT","NAVD88","+/- 0.1 ft (0.03 m)","Survey - conventional","","","","","","FS379891",9/22/2017 9:43:01 AM,100071786
"ULTRAUCCMW-25","BOTHELL ULTRA UCC MW-25","Land","On or below land surface, including most wells","570' N & 40' E OF INTERSECTION OF BOTHELL WAY NE AND WOODENVILLE DRIVE",379891,"Y","18304 Bothell Way NE","BOTHELL","WA","98011","King","Cedar-Sammamish","Northwest Regional Office",1,1,"",,,47.7605944701231,-122.2074609998,"Discrete monitoring point","+/- 10 ft (3 m)","Computer map - GIS-based","",26,"N",5,"E",7,"NE","NE","LAND SURFACE",41.523,"FT","NAVD88","+/- 0.1 ft (0.03 m)","Survey - conventional","","","","","","FS379891",9/22/2017 9:43:01 AM,100071787
"ULTRAUCCMW-5","BOTHELL ULTRA UCC MW-5","Land","On or below land surface, including most wells","640' N & 70' E OF INTERSECTION OF BOTHELL WAY NE AND WOODENVILLE DRIVE",379891,"Y","18304 Bothell Way NE","BOTHELL","WA","98011","King","Cedar-Sammamish","Northwest Regional Office",1,1,"",,,47.7607984999568,-122.207191197815,"Discrete monitoring point","+/- 10 ft (3 m)","Computer map - GIS-based","",26,"N",5,"E",7,"NE","NE","LAND SURFACE",47.906,"FT","NAVD88","+/- 0.1 ft (0.03 m)","Survey - conventional","","","","","","FS379891",9/22/2017 9:43:01 AM,100071788
"ULTRAUCCMW-7","BOTHELL ULTRA UCC MW-7","Land","On or below land surface, including most wells","380' N & 50' E OF INTERSECTION OF BOTHELL WAY NE AND WOODENVILLE DRIVE",379891,"Y","18304 Bothell Way NE","BOTHELL","WA","98011","King","Cedar-Sammamish","Northwest Regional Office",1,1,"",,,47.760597390007,-122.207340600681,"Discrete monitoring point","+/- 10 ft (3 m)","Computer map - GIS-based","",26,"N",5,"E",7,"NE","NE","LAND SURFACE",41.69,"FT","NAVD88","+/- 0.1 ft (0.03 m)","Survey - conventional","","","","","","FS379891",9/22/2017 9:43:01 AM,100071789
"ULTRAUCCMW-8","BOTHELL ULTRA UCC MW-8","Land","On or below land surface, including most wells","260' N & 50' E OF INTERSECTION OF BOTHELL WAY NE AND WOODENVILLE DRIVE",379891,"Y","18304 Bothell Way NE","BOTHELL","WA","98011","King","Cedar-Sammamish","Northwest Regional Office",1,1,"",,,47.760095894131,-122.207334952836,"Discrete monitoring point","+/- 10 ft (3 m)","Computer map - GIS-based","",26,"N",5,"E",7,"NE","NE","LAND SURFACE",39.252,"FT","NAVD88","+/- 0.1 ft (0.03 m)","Survey - conventional","","","","","","FS379891",9/22/2017 9:43:02 AM,100071790
"ULTRAUCCMW-26","BOTHELL ULTRA UCC MW-26","Land","On or below land surface, including most wells","280' N & 60' E OF INTERSECTION OF BOTHELL WAY NE AND WOODENVILLE DRIVE",379891,"Y","18304 Bothell Way NE","BOTHELL","WA","98011","King","Cedar-Sammamish","Northwest Regional Office",1,1,"",,,47.7598580012082,-122.207314001895,"Discrete monitoring point","+/- 10 ft (3 m)","Computer map - GIS-based","",26,"N",5,"E",7,"NE","NE","LAND SURFACE",38.561,"FT","NAVD88","+/- 0.1 ft (0.03 m)","Survey - conventional","","","","","","FS379891",9/22/2017 9:43:02 AM,100071791
"ULTRAUCCMW-27","BOTHELL ULTRA UCC MW-27","Land","On or below land surface, including most wells","250' N & 105' E OF INTERSECTION OF BOTHELL WAY NE AND WOODENVILLE DRIVE",379891,"Y","18304 Bothell Way NE","BOTHELL","WA","98011","King","Cedar-Sammamish","Northwest Regional Office",1,1,"",,,47.7597970003247,-122.207139000227,"Discrete monitoring point","+/- 10 ft (3 m)","Computer map - GIS-based","",26,"N",5,"E",7,"NE","NE","LAND SURFACE",38.191,"FT","NAVD88","+/- 0.1 ft (0.03 m)","Survey - conventional","","","","","","FS379891",9/22/2017 9:43:02 AM,100071792
"ULTRAUCCB-1","BOTHELL ULTRA UCC B-1","Land","On or below land surface, including most wells","135' N & 45' E OF INTERSECTION OF BOTHELL WAY NE AND WOODENVILLE DRIVE",379891,"Y","18304 Bothell Way NE","BOTHELL","WA","98011","King","Cedar-Sammamish","Northwest Regional Office",1,1,"",,,47.7594579998241,-122.207393999684,"Discrete monitoring point","+/- 10 ft (3 m)","Computer map - GIS-based","",26,"N",5,"E",7,"NE","NE","",,"","","","","","","","","","FS379891",9/22/2017 9:43:03 AM,100071793
"ULTRAUCCB-2","BOTHELL ULTRA UCC B-2","Land","On or below land surface, including most wells","290' N & 75' E OF INTERSECTION OF BOTHELL WAY NE AND WOODENVILLE DRIVE",379891,"Y","18304 Bothell Way NE","BOTHELL","WA","98011","King","Cedar-Sammamish","Northwest Regional Office",1,1,"",,,47.7599079989178,-122.207163999368,"Discrete monitoring point","+/- 10 ft (3 m)","Computer map - GIS-based","",26,"N",5,"E",7,"NE","NE","",,"","","","","","","","","","FS379891",9/22/2017 9:43:03 AM,100071794
"ULTRAUCCB-3","BOTHELL ULTRA UCC B-3","Land","On or below land surface, including most wells","275' N & 180' E OF INTERSECTION OF BOTHELL WAY NE AND WOODENVILLE DRIVE",379891,"Y","18304 Bothell Way NE","BOTHELL","WA","98011","King","Cedar-Sammamish","Northwest Regional Office",1,1,"",,,47.7599079998064,-122.20675799915,"Discrete monitoring point","+/- 10 ft (3 m)","Computer map - GIS-based","",26,"N",5,"E",8,"NW","NW","",,"","","","","","","","","","FS379891",9/22/2017 9:43:03 AM,100071795
"ULTRAUCCB-4","BOTHELL ULTRA UCC B-4","Land","On or below land surface, including most wells","215' N & 120' E OF INTERSECTION OF BOTHELL WAY NE AND WOODENVILLE DRIVE",379891,"Y","18304 Bothell Way NE","BOTHELL","WA","98011","King","Cedar-Sammamish","Northwest Regional Office",1,1,"",,,47.7596810006566,-122.207077999337,"Discrete monitoring point","+/- 10 ft (3 m)","Computer map - GIS-based","",26,"N",5,"E",7,"NE","NE","",,"","","","","","","","","","FS379891",9/22/2017 9:43:03 AM,100071796
